(02/10/2016,List((0.000234,0.000229)))
(05/05/2015,List((0.000090,0.000088)))
(29/07/2015,List((0.000192,0.000183)))
(22/06/2015,List((0.000221,0.000207)))
(11/11/2017,List((0.001257,0.001141)))
(23/03/2017,List((0.000245,0.000235)))
(09/06/2014,List((0.000364,0.000357)))
(10/10/2015,List((0.000121,0.000117)))
(01/03/2015,List((0.000148,0.000140)))
(30/04/2014,List((0.000519,0.000471)))
(16/09/2017,List((0.000921,0.000774)))
(20/09/2014,List((0.000310,0.000267)))
(27/02/2014,List((0.001219,0.001122)))
(06/10/2016,List((0.000234,0.000223)))
(11/10/2014,List((0.000281,0.000268)))
(24/04/2017,List((0.000530,0.000498)))
(02/05/2014,List((0.000505,0.000478)))
(29/09/2015,List((0.000128,0.000121)))
(06/04/2015,List((0.000128,0.000122)))
(07/08/2014,List((0.000183,0.000165)))
(23/12/2013,List((0.000460,0.000294)))
(28/02/2015,List((0.000147,0.000142)))
(02/11/2015,List((0.000149,0.000138)))
(18v08/2015,List((0.000150,0.000134)))
(04/11/2017,List((0.001242,0.001098)))
(23/02/2014,List((0.001299,0.001173)))
(23/04/2014,List((0.000591,0.000551)))
(12/01/2015,List((0.000162,0.000156)))
(26/04/2017,List((0.000552,0.000527)))
(27/09/2015,List((0.000123,0.000120)))
(31/08/2017,List((0.002150,0.002017)))
(25/01/2017,List((0.000205,0.000200)))
(08/09/2016,List((0.000246,0.000228)))
(22/02/2015,List((0.000147,0.000140)))
(22/05/2016,List((0.000227,0.000222)))
(28/04/2017,List((0.000705,0.000617)))
(03/11/2016,List((0.000224,0.000216)))
(09/10/2015,List((0.000120,0.000118)))
(14/01/2015,List((0.000136,0.000113)))
(03/02/2016,List((0.000273,0.000258)))
(20/04/2017,List((0.000483,0.000438)))
(24/04/2015,List((0.000111,0.000104)))
(16/07/2017,List((0.001524,0.001280)))
(10/09/2015,List((0.000132,0.000127)))
(19/12/2016,List((0.000222,0.000216)))
(03/05/2017,List((0.000695,0.000591)))
(03/09/2017,List((0.002326,0.002090)))
(22/02/2017,List((0.000210,0.000197)))
(17/12/2014,List((0.000189,0.000167)))
(13/10/2014,List((0.000291,0.000280)))
(23/07/2015,List((0.000187,0.000177)))
(13/01/2016,List((0.000184,0.000176)))
(03/05/2015,List((0.000100,0.000090)))
(18/01/2015,List((0.000147,0.000133)))
(14/04/2016,List((0.000235,0.000225)))
(10/07/2017,List((0.002373,0.001865)))
(29/04/2016,List((0.000229,0.000225)))
(09/07/2015,List((0.000206,0.000187)))
(12/06/2014,List((0.000424,0.000375)))
(03/02/2014,List((0.001363,0.001227)))
(09/11/2014,List((0.000221,0.000214)))
(29/08/2016,List((0.000230,0.000220)))
(26/05/2016,List((0.000230,0.000221)))
(01/08/2016,List((0.000233,0.000223)))
(01/02/2014,List((0.001572,0.001457)))
(29/03/2015,List((0.000132,0.000124)))
(17/05/2014,List((0.000455,0.000449)))
(31/12/2016,List((0.000228,0.000223)))
(04/02/2017,List((0.000214,0.000206)))
(08/10/2014,List((0.000300,0.000285)))
(25/12/2015,List((0.000152,0.000146)))
(29/10/2015,List((0.000141,0.000124)))
(01/12/2015,List((0.000131,0.000125)))
(05/07/2017,List((0.002829,0.002423)))
(12/08/2014,List((0.000149,0.000137)))
(02/06/2015,List((0.000165,0.000136)))
(18/03/2015,List((0.000144,0.000132)))
(24/06/2017,List((0.003294,0.003121)))
(15/03/2014,List((0.000873,0.000835)))
(14/05/2017,List((0.001274,0.001188)))
(17/06/2015,List((0.000228,0.000192)))
(24/11/2015,List((0.000131,0.000127)))
(04/03/2014,List((0.001106,0.001011)))
(11/04/2017,List((0.000400,0.000381)))
(29/01/2017,List((0.000211,0.000204)))
(22/12/2014,List((0.000200,0.000192)))
(10/03/2017,List((0.000218,0.000198)))
(21/11/2014,List((0.000213,0.000204)))
(30/05/2017,List((0.002994,0.002570)))
(29/06/2014,List((0.000279,0.000268)))
(13/01/2014,List((0.000344,0.000260)))
(16/01/2015,List((0.000145,0.000136)))
(13/04/2015,List((0.000115,0.000106)))
(10/12/2015,List((0.000147,0.000138)))
(30/09/2015,List((0.000124,0.000121)))
(08/01/2014,List((0.000238,0.000203)))
(18/07/2017,List((0.001888,0.001467)))
