(09/06/2014,List((0.000360,0.000362)))
(10/10/2015,List((0.000119,0.000119)))
(01/03/2015,List((0.000145,0.000146)))
(30/04/2014,List((0.000495,0.000501)))
(16/09/2017,List((0.000848,0.000867)))
(20/09/2014,List((0.000276,0.000292)))
(27/02/2014,List((0.001193,0.001159)))
(06/10/2016,List((0.000230,0.000223)))
(11/10/2014,List((0.000271,0.000278)))
(24/04/2017,List((0.000526,0.000515)))
(02/05/2014,List((0.000504,0.000482)))
(29/09/2015,List((0.000124,0.000121)))
(06/04/2015,List((0.000127,0.000124)))
(07/08/2014,List((0.000178,0.000176)))
(23/12/2013,List((0.000313,0.000451)))
(28/02/2015,List((0.000146,0.000145)))
(02/11/2015,List((0.000141,0.000147)))
(18v08/2015,List((0.000150,0.000134)))
(04/11/2017,List((0.001143,0.001189)))
(23/02/2014,List((0.001280,0.001185)))
(23/04/2014,List((0.000588,0.000570)))
(12/01/2015,List((0.000160,0.000156)))
(26/04/2017,List((0.000534,0.000544)))
(27/09/2015,List((0.000123,0.000122)))
(31/08/2017,List((0.002103,0.002064)))
(25/01/2017,List((0.000203,0.000204)))
(08/09/2016,List((0.000242,0.000228)))
(22/02/2015,List((0.000145,0.000141)))
(22/05/2016,List((0.000227,0.000224)))
(28/04/2017,List((0.000625,0.000678)))
(03/11/2016,List((0.000223,0.000217)))
(09/10/2015,List((0.000119,0.000119)))
(14/01/2015,List((0.000135,0.000115)))
(03/02/2016,List((0.000262,0.000265)))
(20/04/2017,List((0.000448,0.000443)))
(24/04/2015,List((0.000110,0.000105)))
(16/07/2017,List((0.001484,0.001307)))
(10/09/2015,List((0.000130,0.000129)))
(19/12/2016,List((0.000216,0.000218)))
(03/05/2017,List((0.000611,0.000678)))
(03/09/2017,List((0.002263,0.002153)))
(22/02/2017,List((0.000208,0.000202)))
(17/12/2014,List((0.000173,0.000179)))
(13/10/2014,List((0.000291,0.000285)))
(23/07/2015,List((0.000183,0.000178)))
(13/01/2016,List((0.000179,0.000177)))
(03/05/2015,List((0.000097,0.000090)))
(18/01/2015,List((0.000135,0.000140)))
(14/04/2016,List((0.000233,0.000230)))
(10/07/2017,List((0.002338,0.001952)))
(29/04/2016,List((0.000228,0.000226)))
(09/07/2015,List((0.000189,0.000195)))
(12/06/2014,List((0.000419,0.000382)))
(03/02/2014,List((0.001277,0.001269)))
(09/11/2014,List((0.000218,0.000219)))
(29/08/2016,List((0.000227,0.000225)))
(26/05/2016,List((0.000224,0.000228)))
(01/08/2016,List((0.000230,0.000223)))
(01/02/2014,List((0.001558,0.001457)))
(29/03/2015,List((0.000131,0.000127)))
(17/05/2014,List((0.000452,0.000453)))
(31/12/2016,List((0.000227,0.000223)))
(04/02/2017,List((0.000213,0.000211)))
(08/10/2014,List((0.000297,0.000294)))
(25/12/2015,List((0.000148,0.000147)))
(29/10/2015,List((0.000126,0.000141)))
(01/12/2015,List((0.000129,0.000127)))
(05/07/2017,List((0.002504,0.002714)))
(12/08/2014,List((0.000144,0.000149)))
(02/06/2015,List((0.000143,0.000160)))
(18/03/2015,List((0.000144,0.000133)))
